آنکھ سے دور نہ ہو دل سے اتر جائے گا	aankh se dor nah ho dil se atr jaie ga
وقت کا کیا ہے گزرتا ہے گزر جائے گا	oqt ka kia he gzrta he gzr jaie ga
اتنا مانوس نہ ہو خلوت غم سے اپنی	atna manos nah ho khlot ghm se apni
تو کبھی خود کو بھی دیکھے گا تو ڈر جائے گا	to kbhi khod ko bhi dikhe ga to dr jaie ga
ڈوبتے ڈوبتے کشتی کو اچھالا دے دوں	dobte dobte kshti ko achhala de do
میں نہیں کوئی تو ساحل پہ اتر جائے گا	miں nahiں koai to sahl ph atr jaie ga
زندگی تیری عطا ہے تو یہ جانے والا	zndgi tiri ata he to yh jane oala
تیری بخشش تری دہلیز پہ دھر جائے گا	tiri bkhshsh tri dhliz ph dhr jaie ga
ضبط لازم ہے مگر دکھ ہے قیامت کا فرازؔ	zbt lazm he mgr dkh he qiamt ka fraz
ظالم اب کے بھی نہ روئے گا تو مر جائے گا	zalm ab ke bhi nah roye ga to mr jaie ga
عاشقی میں میرؔ جیسے خواب مت دیکھا کرو	aashqi miں mirؔ jise khoab mt dikha kro
باؤلے ہو جاؤ گے مہتاب مت دیکھا کرو	baule ho jau ge mhtab mt dikha kro
جستہ جستہ پڑھ لیا کرنا مضامین وفا	jsth jsth prrh lia karna mzamin ofa
پر کتاب عشق کا ہر باب مت دیکھا کرو	pr ktab ashq ka hr bab mt dikha kro
اس تماشے میں الٹ جاتی ہیں اکثر کشتیاں	as tmashe miں alt jati hiں aksr kshtia
ڈوبنے والوں کو زیر آب مت دیکھا کرو	dobne oaloں ko zir aab mt dikha kro
مے کدے میں کیا تکلف مے کشی میں کیا حجاب	me kde miں kia tklf me kshi miں kia hjab
بزم ساقی میں ادب آداب مت دیکھا کرو	bzm saqi miں adb aadab mt dikha kro
ہم سے درویشوں کے گھر آؤ تو یاروں کی طرح	hm se droishoں ke ghr aaau to yaroں ki trh
ہر جگہ خس خانہ و برفاب مت دیکھا کرو	hr jgh khs khanah o brfab mt dikha kro
مانگے تانگے کی قبائیں دیر تک رہتی نہیں	mange tange ki qbaiں dir tk rhti nahi
یار لوگوں کے لقب القاب مت دیکھا کرو	yar logoں ke lqb alqab mt dikha kro
تشنگی میں لب بھگو لینا بھی کافی ہے فرازؔ	tshngi miں lb bhgo lina bhi kafi he fraz
جام میں صہبا ہے یا زہراب مت دیکھا کرو	jam miں shba he ya zhrab mt dikha kro
اب اور کیا کسی سے مراسم بڑھائیں ہم	ab aur kia ksi se mrasm brrhaiں hm
یہ بھی بہت ہے تجھ کو اگر بھول جائیں ہم	yh bhi bht he tjh ko agr bhol jaiں hm
صحرائے زندگی میں کوئی دوسرا نہ تھا	shraie zndgi miں koai dosra nah tha
سنتے رہے ہیں آپ ہی اپنی صدائیں ہم	snte rhe hiں aap hi apni sdaiں hm
اس زندگی میں اتنی فراغت کسے نصیب	as zndgi miں atni fraght kse nsib
اتنا نہ یاد آ کہ تجھے بھول جائیں ہم	atna nah yad aa kh tjhe bhol jaiں hm
تو اتنی دل زدہ تو نہ تھی اے شب فراق	to atni dil zdh to nah thi ae shb fraq
آ تیرے راستے میں ستارے لٹائیں ہم	aa tire raste miں stare ltaiں hm
وہ لوگ اب کہاں ہیں جو کہتے تھے کل فرازؔ	oh log ab khaں hiں jo khte the kl fraz
ہے ہے خدا نہ کردہ تجھے بھی رلائیں ہم	he he khda nah krdh tjhe bhi rlaiں hm
اب کے ہم بچھڑے تو شاید کبھی خوابوں میں ملیں	ab ke hm bchhrre to shaid kbhi khoaboں miں mli
جس طرح سوکھے ہوئے پھول کتابوں میں ملیں	js trh sokhe hoye phol ktaboں miں mli
ڈھونڈ اجڑے ہوئے لوگوں میں وفا کے موتی	dhond ajrre hoye logoں miں ofa ke moti
یہ خزانے تجھے ممکن ہے خرابوں میں ملیں	yh khzane tjhe mmkn he khraboں miں mli
غم دنیا بھی غم یار میں شامل کر لو	ghm dnia bhi ghm yar miں shaml kr lo
نشہ بڑھتا ہے شرابیں جو شرابوں میں ملیں	nshh brrhta he shrabiں jo shraboں miں mli
تو خدا ہے نہ مرا عشق فرشتوں جیسا	to khda he nah mra ashq frshtoں jisa
دونوں انساں ہیں تو کیوں اتنے حجابوں میں ملیں	donoں ansaں hiں to kioں atne hjaboں miں mli
آج ہم دار پہ کھینچے گئے جن باتوں پر	aaj hm dar ph khinche gye jn batoں pr
کیا عجب کل وہ زمانے کو نصابوں میں ملیں	kia ajb kl oh zmane ko nsaboں miں mli
اب نہ وہ میں نہ وہ تو ہے نہ وہ ماضی ہے فرازؔ	ab nah oh miں nah oh to he nah oh mazi he fraz
جیسے دو شخص تمنا کے سرابوں میں ملیں	jise do shkhs tmna ke sraboں miں mli
اب کے تجدید وفا کا نہیں امکاں جاناں	ab ke tjdid ofa ka nahiں amkaں jana
یاد کیا تجھ کو دلائیں ترا پیماں جاناں	yad kia tjh ko dilaiں tra pimaں jana
یوں ہی موسم کی ادا دیکھ کے یاد آیا ہے	yoں hi mosm ki ada dikh ke yad aaia he
کس قدر جلد بدل جاتے ہیں انساں جاناں	ks qdr jld bdil jate hiں ansaں jana
زندگی تیری عطا تھی سو ترے نام کی ہے	zndgi tiri ata thi so tre nam ki he
ہم نے جیسے بھی بسر کی ترا احساں جاناں	hm ne jise bhi bsr ki tra ahsaں jana
دل یہ کہتا ہے کہ شاید ہے فسردہ تو بھی	dil yh khta he kh shaid he fsrdh to bhi
دل کی کیا بات کریں دل تو ہے ناداں جاناں	dil ki kia bat kriں dil to he nadaں jana
اول اول کی محبت کے نشے یاد تو کر	aul aul ki mhbt ke nshe yad to kr
بے پیے بھی ترا چہرہ تھا گلستاں جاناں	be pie bhi tra chhrh tha glstaں jana
آخر آخر تو یہ عالم ہے کہ اب ہوش نہیں	aakhr aakhr to yh aalm he kh ab hosh nahi
رگ مینا سلگ اٹھی کہ رگ جاں جاناں	rg mina slg athi kh rg jaں jana
مدتوں سے یہی عالم نہ توقع نہ امید	mdtoں se yhi aalm nah toqa nah amid
دل پکارے ہی چلا جاتا ہے جاناں جاناں	dil pkare hi chla jata he janaں jana
ہم بھی کیا سادہ تھے ہم نے بھی سمجھ رکھا تھا	hm bhi kia sadh the hm ne bhi smjh rkha tha
غم دوراں سے جدا ہے غم جاناں جاناں	ghm doraں se jda he ghm janaں jana
اب کے کچھ ایسی سجی محفل یاراں جاناں	ab ke kchh aisi sji mhfl yaraں jana
سر بہ زانو ہے کوئی سر بہ گریباں جاناں	sr bh zano he koai sr bh gribaں jana
ہر کوئی اپنی ہی آواز سے کانپ اٹھتا ہے	hr koai apni hi aaoaz se kanp athta he
ہر کوئی اپنے ہی سائے سے ہراساں جاناں	hr koai apne hi saie se hrasaں jana
جس کو دیکھو وہی زنجیر بہ پا لگتا ہے	js ko dikho ohi znjir bh pa lgta he
شہر کا شہر ہوا داخل زنداں جاناں	shhr ka shhr hoa dakhl zndaں jana
اب ترا ذکر بھی شاید ہی غزل میں آئے	ab tra zkr bhi shaid hi ghzl miں aaye
اور سے اور ہوئے درد کے عنواں جاناں	aur se aur hoye drd ke anoaں jana
ہم کہ روٹھی ہوئی رت کو بھی منا لیتے تھے	hm kh rothi hoai rt ko bhi mna lite the
ہم نے دیکھا ہی نہ تھا موسم ہجراں جاناں	hm ne dikha hi nah tha mosm hjraں jana
ہوش آیا تو سبھی خواب تھے ریزہ ریزہ	hosh aaia to sbhi khoab the rizh riz
جیسے اڑتے ہوئے اوراق پریشاں جاناں	jise arrte hoye auraq prishaں jana
اب کیا سوچیں کیا حالات تھے کس کارن یہ زہر پیا ہے	ab kia sochiں kia halat the ks karn yh zhr pia he
ہم نے اس کے شہر کو چھوڑا اور آنکھوں کو موند لیا ہے	hm ne as ke shhr ko chhorra aur aankhoں ko mond lia he
اپنا یہ شیوہ تو نہیں تھا اپنے غم اوروں کو سونپیں	apna yh shioh to nahiں tha apne ghm auroں ko sonpi
خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے	khod to jagte ya sote hiں as ko kioں be khoab kia he
خلقت کے آوازے بھی تھے بند اس کے دروازے بھی تھے	khlqt ke aaoaze bhi the bnd as ke droaze bhi the
پھر بھی اس کوچے سے گزرے پھر بھی اس کا نام لیا ہے	phr bhi as koche se gzre phr bhi as ka nam lia he
ہجر کی رت جاں لیوا تھی پر غلط سبھی اندازے نکلے	hjr ki rt jaں lioa thi pr ghlt sbhi andaze nkle
تازہ رفاقت کے موسم تک میں بھی جیا ہوں وہ بھی جیا ہے	tazh rfaqt ke mosm tk miں bhi jia hoں oh bhi jia he
ایک فرازؔ تمہیں تنہا ہو جو اب تک دکھ کے رسیا ہو	aik frazؔ tmhiں tnaha ho jo ab tk dkh ke rsia ho
ورنہ اکثر دل والوں نے درد کا رستہ چھوڑ دیا ہے	ornah aksr dil oaloں ne drd ka rsth chhorr dia he
اب شوق سے کہ جاں سے گزر جانا چاہیئے	ab shoq se kh jaں se gzr jana chahiye
بول اے ہوائے شہر کدھر جانا چاہیئے	bol ae hoaie shhr kdhr jana chahiye
کب تک اسی کو آخری منزل کہیں گے ہم	kb tk asi ko aakhri mnzl khiں ge hm
کوئے مراد سے بھی ادھر جانا چاہیئے	koye mrad se bhi adhr jana chahiye
وہ وقت آ گیا ہے کہ ساحل کو چھوڑ کر	oh oqt aa gia he kh sahl ko chhorr kr
گہرے سمندروں میں اتر جانا چاہیئے	ghre smndroں miں atr jana chahiye
اب رفتگاں کی بات نہیں کارواں کی ہے	ab rftgaں ki bat nahiں karoaں ki he
جس سمت بھی ہو گرد سفر جانا چاہیئے	js smt bhi ho grd sfr jana chahiye
کچھ تو ثبوت خون تمنا کہیں ملے	kchh to sbot khon tmna khiں mle
ہے دل تہی تو آنکھ کو بھر جانا چاہیئے	he dil thi to aankh ko bhr jana chahiye
یا اپنی خواہشوں کو مقدس نہ جانتے	ya apni khoahshoں ko mqds nah jante
